func_name,endpoint_id,running_duration,energy_consumed,llc_misses,instructions_retired,core_cycles,ref_cycles
__main__.dna_visualization,1a302149-7bef-40fe-9dc1-08ae540dc719,11.21085,59144569.437641144,20042382.55056885,115348565229.25533,33314904642.567947,0.0
__main__.graph_bfs,1a302149-7bef-40fe-9dc1-08ae540dc719,2.378046,11780696.836929753,103004048.609512,7312448780.999495,6001411598.267898,0.0
__main__.graph_bfs,1a302149-7bef-40fe-9dc1-08ae540dc719,2.310476,9688878.914943382,81279935.89810333,6400869614.820907,5481684429.220049,0.0
__main__.graph_bfs,1a302149-7bef-40fe-9dc1-08ae540dc719,2.241892,10601009.472046116,88578372.03581198,7043268945.098304,5598019433.368831,0.0
__main__.graph_bfs,1a302149-7bef-40fe-9dc1-08ae540dc719,2.282943,11363153.978035748,98643937.18499482,7133172780.987811,5737994250.4117365,0.0
__main__.graph_bfs,1a302149-7bef-40fe-9dc1-08ae540dc719,2.264489,10214183.613553904,90050024.66480179,6256432739.460008,5350600195.151274,0.0
__main__.graph_bfs,1a302149-7bef-40fe-9dc1-08ae540dc719,2.304233,9723412.21608057,81844500.47177607,6392723488.520171,5465864284.98623,0.0
__main__.graph_bfs,1a302149-7bef-40fe-9dc1-08ae540dc719,2.345492,11742136.919364275,102953894.046853,7256187820.902625,5918250648.152343,0.0
__main__.compression,1a302149-7bef-40fe-9dc1-08ae540dc719,1.338295,3070200.101782794,5462872.555613175,4030594661.1210957,2452193932.526846,0.0
__main__.compression,1a302149-7bef-40fe-9dc1-08ae540dc719,1.407738,3303230.2754733823,6439935.313032035,4280448179.7077427,2614154280.3668375,0.0
__main__.compression,1a302149-7bef-40fe-9dc1-08ae540dc719,1.833838,4248607.194648567,14395967.625141878,4896072825.164249,3774145319.249925,0.0
__main__.dna_visualization,1a302149-7bef-40fe-9dc1-08ae540dc719,11.185289,58722564.657348126,23332607.37896076,113964616073.8194,32991531661.161594,0.0
__main__.graph_mst,1a302149-7bef-40fe-9dc1-08ae540dc719,2.330909,9642020.988616284,86588920.96800026,5899931294.258564,5385048035.139551,0.0
__main__.graph_mst,1a302149-7bef-40fe-9dc1-08ae540dc719,2.235901,8828236.137015853,76773937.74054834,5786815766.310257,5084782517.736774,0.0
__main__.cholesky_decomposition,1a302149-7bef-40fe-9dc1-08ae540dc719,3.355295,7751050.791592404,104760016.94878113,257918392.11157227,2509819278.889984,0.0
__main__.thumbnailer,1a302149-7bef-40fe-9dc1-08ae540dc719,0.059297,6600.6124009341,28549.31697320938,9027571.795593262,4150605.04637146,0.0
__main__.cholesky_decomposition,1a302149-7bef-40fe-9dc1-08ae540dc719,3.286688,7699834.499682337,104184299.5684241,239375667.9798584,2501577971.066139,0.0
__main__.cholesky_decomposition,1a302149-7bef-40fe-9dc1-08ae540dc719,3.420018,8047918.101200424,108893648.69364786,250265313.6755829,2554500132.7108727,0.0
__main__.matrix_multiplication,1a302149-7bef-40fe-9dc1-08ae540dc719,4.231882,351939.0232346058,1578889.9893306494,475819994.7451477,163232541.58973694,0.0
__main__.matrix_multiplication,1a302149-7bef-40fe-9dc1-08ae540dc719,4.245949,345381.4991118461,1524751.92892766,470317471.2385559,163528944.83132935,0.0
__main__.matrix_multiplication,1a302149-7bef-40fe-9dc1-08ae540dc719,4.309429,350783.48012010753,1584613.97673738,472773594.6551819,165702663.00518036,0.0
__main__.matrix_multiplication,1a302149-7bef-40fe-9dc1-08ae540dc719,4.339937,353644.1915368885,1567700.765273571,480688548.9477234,159682299.52062988,0.0
__main__.matrix_multiplication,1a302149-7bef-40fe-9dc1-08ae540dc719,4.424851,357448.28002247214,1551478.9753867686,490360695.26168823,168040135.30117035,0.0
__main__.matrix_multiplication,1a302149-7bef-40fe-9dc1-08ae540dc719,4.625533,359976.41433053464,1556183.1887235045,494681817.20775604,172863051.3530197,0.0
